PASS	feat(workspace): 搭建 Cargo workspace、成员骨架与远端仓库	main
PASS	feat(config): 按运行时发现顺序加载 config.toml	main
PASS	feat(corpus): 建立带许可校验的上游数据源清单	main
PASS	feat(logger): 初始化 tracing 并强制控制台输出到 stderr	main
PASS	build(voice): 打通 sherpa-onnx 五平台构建并记录链接方案	main
PASS	feat(lints): 禁止 stdout 输出并定义统一错误类型	main
PASS	chore(build): 添加 Makefile、oxfmt 配置与 git hooks	main
PASS	feat(corpus): 定义规范化记录模型与稳定 ID 注册表	main
PASS	ci(workflow): 添加 CI 流水线与终态 ci-success 门禁	main
PASS	test(core): 建立黄金查询契约并实测 FTS5 detail 模式	main
PASS	docs(readme): 添加中英双语 README 与仓库元信息	main
PASS	ci(release): 接入 release-please 与 git-cliff 发版流程	main
PASS	feat(corpus): 导入 chinese-poetry 原文与平仄数据	main
PASS	feat(corpus): 导入公有领域韵书并按资产核验来源	main
PASS	feat(corpus): 导入 Werneror 古典朝代分桶并隔离缺字记录	main
PASS	feat(corpus): 建立历代集评导入管道并要求逐条出处	main
PASS	feat(corpus): 构建期繁简转换并生成字形映射表	main
PASS	feat(corpus): 生成重出分组与数据缺陷报告并设基线	main
PASS	feat(corpus): 实现只读 SQLite 模式、守恒校验与兼容契约	main
PASS	feat(corpus): 按实测结论构建 FTS5 trigram 外部内容索引	main
PASS	feat(corpus): 生成韵脚表并按韵部投票消歧多音字	main
PASS	ci(corpus): 添加语料构建流水线与黄金查询回归	main
PASS	test(corpus): 实测索引体积与查询延迟并产出预算结论	main
PASS	feat(voice): 打通各平台麦克风权限并确定系统底线	main
PASS	fix(voice): 采集被截断时报错而非返回半段音频	main
PASS	test(voice): 核实模型许可并实测文言 CER	main
PASS	feat(corpus): 拆出审计库并打包发布语料工件	main
PASS	feat(core): 实现语料校验落地与只读打开	main
PASS	feat(core): 实现查询归一化与三段式检索路由	main
PASS	feat(core): 实现全文与残句模糊检索	main
PASS	feat(core): 实现题目、作者、朝代、首句与尾字查询	main
PASS	feat(core): 实现三套韵书的押韵检索	main
PASS	feat(core): 实现主题标签检索与历代集评关联	main
PASS	feat(core): 固化核心 API 表面与长任务协议	main
PASS	feat(ai): 定义赏析 provider 抽象与带版本的提示词模板	main
PASS	feat(ai): 基于 keyring-core 实现跨平台密钥存储与降级链	main
PASS	feat(cli): 实现 yunjian 命令行检索与 JSON 输出	main
PASS	feat(corpus): 增加占位正文清洗、粘连句拆分与结构化体裁判定	main
PASS	feat(recite): 实现字级对齐与四类错误标注	main
PASS	feat(ai): 接入 genai 并以 keychain 注入 BYOK 凭据	main
PASS	feat(mcp): 基于 rmcp 实现 stdio MCP 服务	main
PASS	feat(voice): 实现基于 rodio 的音频采集与播放	main
PASS	feat(recite): 实现评分模型与防虚高类型边界	main
PASS	feat(app): 搭建 Tauri v2 与 React 外壳及平台窗口配置	main
PASS	feat(recite): 实现挖空、首字提示与遮挡三种练习模式	main
PASS	feat(mcp): 实现只读检索工具并显式声明 annotations	main
PASS	feat(app): 实现自绘标题栏与非 Tauri 环境降级	main
PASS	fix(voice): 按裁决改 scoring_mode 取值域为 guided_practice 与 coverage_advisory	main
PASS	feat(recite): 增加拼音级近音宽容层	main
PASS	feat(mcp): 添加可选 Streamable HTTP 传输与绑定地址保护	main
